"gbifID","license","species","basisOfRecord","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","countryCode","stateProvince","county","locality","verbatimLocality","institutionCode","recordedBy","references"
4947690282,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.052889,46.731205,12170,1973,4,17,"US","Washington","Whitman County","6 mi E Pullman","6 mi E Pullman, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:6289"
4947690280,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,3,21,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8557"
4947690209,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,28,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24929"
4947690066,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,12,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25012"
4947690042,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,13,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8355"
4947689861,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.585814,46.020281,3754,1983,3,22,"US","Washington","Walla Walla County","4 km S of Lowden","4 km S of Lowden, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24839"
4947689833,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.0333,47.0167,301,1973,7,14,"US","Idaho","Shoshone County","Head of Freezeout Creek","Head of Freezeout Creek, Shoshone Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8479"
4947689617,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,3,21,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8560"
4947689380,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.16684,46.862389,1807,1931,5,23,"US","Washington","Whitman County","S of Kamiak Butte","S of Kamiak Butte, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:6125"
4947689356,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,4,5,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:5831"
4947689321,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.436448,46.135537,90,1946,6,25,"US","Washington","Grant County","Wickiup Spring","Wickiup Spring, Garfield Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:6438"
4947689314,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.190176,46.731274,6063,1973,3,16,"US","Washington","Whitman County","0.5 mi W Pullman","0.5 mi W Pullman, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:5488"
4947689308,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,12,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8352"
4947689284,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.89185,48.959384,6659,1981,6,13,"US","Washington","Stevens County","3 mi N, 5 mi W Northport","3 mi N, 5 mi W Northport, Stevens Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8389"
4947689280,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.270805,46.928988,3318,1980,7,NA,"US","Washington","Whitman County","1 mi upstream from Albion, S. Fork Palouse River","1 mi upstream from Albion, S. Fork Palouse River, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8433"
4947689240,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,3,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24972"
4947689152,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,26,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24907"
4947689040,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.585814,46.020281,3754,1983,3,22,"US","Washington","Walla Walla County","4 km S of Lowden","4 km S of Lowden, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24842"
4947688985,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.907842,46.297498,49219,1992,7,9,"US","Washington","Columbia County","4.5 mi SW of Camp Wooten","4.5 mi SW of Camp Wooten, T8N R40E Sec 2, Columbia Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8495"
4947688960,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-115.700964,45.620458,1807,1954,8,20,"US","Idaho","Idaho County","Buffalo Hump","Buffalo Hump, Idaho Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8504"
4947688936,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.137374,46.731267,8501,1990,3,26,"US","Washington","Whitman County","2 mi E of Pullman","2 mi E of Pullman, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8417"
4947688882,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-119.451762,47.205665,98242,1992,7,3,"US","Washington","Grant County","Iron Spring","Iron Spring, T9N R42E Sec 1, Garfield Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8476"
4947688854,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.440121,46.049291,5313,1982,6,8,"US","Washington","Walla Walla County","Walla Walla College Farm, 4 km W of College Place, Walla Walla","Walla Walla College Farm, 4 km W of College Place, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24845"
4947688828,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.69492,46.685628,5111,1939,3,26,"US","Idaho","Latah County","5 mi SE Troy","5 mi SE Troy, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:5726"
4947688807,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.021284,46.732213,5739,1938,6,15,"US","Idaho","Latah County","Paradise Creek, 1 mi W Moscow","Paradise Creek, 1 mi W Moscow, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8523"
4947688748,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,13,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25015"
4947688665,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.478236,46.135529,3486,1992,7,3,"US","Washington","Grant County","2 mi W of Wickiup Spring","2 mi W of Wickiup Spring, T8N R43E Sec 31, Garfield Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8501"
4947688567,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,3,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24966"
4947688434,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.273998,48.532318,66268,1992,6,15,"US","Washington","Pend Oreille County","1 mi SE Salmo Mt","1 mi SE Salmo Mt, T40N R45E Sec 22, Pend Oreille Co, Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8371"
4947688383,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,28,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24926"
