"gbifID","license","species","basisOfRecord","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","countryCode","stateProvince","county","locality","verbatimLocality","institutionCode","recordedBy","references"
4947659127,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.273998,48.532318,66268,1995,7,1,"US","Washington","Pend Oreille County","No specific locality recorded.","Rub Reg 3, T35N, R42E, sec. 3, Pend Oreille Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:21261"
4947658923,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,16,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25026"
4947658692,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,27,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24920"
4947658630,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.601877,48.881706,475,1995,7,5,"US","Washington","Ferry County","0.4 mi W, 0.1 mi N of Sherman Pass, Kettle River Rang","0.4 mi W, 0.1 mi N of Sherman Pass, 5250 ft, T36N R34E S24, Kettle River Range, Ferry Co, Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8382"
4947658615,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,26,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24895"
4947658564,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,7,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8461"
4947658474,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.868614,46.920119,90,1985,3,21,"US","Idaho","Latah County","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6","Gold Creek Ranch, 1 mi E of Potlach on Hwy. 6, Latah Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8562"
4947658294,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-116.593925,45.421772,17515,1978,7,31,"US","Idaho","Idaho County","13.5 mi W of Riggins on the Windy Saddle Rd","13.5 mi W of Riggins on the Windy Saddle Rd., 7000 ft., Idaho Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8541"
4947658259,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,4,28,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24931"
4947658122,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,10,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25006"
4947658111,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.179616,46.731274,5639,1978,6,7,"US","Washington","Whitman County","Pullman","Pullman, elev. 2500 ft, Whitman Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8462"
4947657993,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-113.895901,45.682583,44873,1977,5,22,"US","Idaho","Lemhi County","35 mi N of Salmon","35 mi N of Salmon, 5400 ft., Lemhi Co., Idaho","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8593"
4947657900,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-117.114094,47.893788,3587,1982,7,11,"US","Washington","Spokane County","1.9 mi S, 1.8 mi E of Summit of Mt. Spokane","1.9 mi S, 1.8 mi E of Summit of Mt. Spokane, elev. 4700 ft, Spokane Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:8419"
4947657816,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,9,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:24995"
4947657724,"CC_BY_NC_4_0","Urocitellus columbianus","PRESERVED_SPECIMEN",-118.343021,46.064581,4977,1983,5,26,"US","Washington","Walla Walla County","N Fort Walla Walla City Park, Walla Walla","N Fort Walla Walla City Park, Walla Walla, Walla Walla Co., Washington","CRCM","Collector(s): unknown","http://arctos.database.museum/guid/CRCM:Mamm:25037"
